paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-40475571,40475571,Enhanced Production of HCV E1E2 Subunit Vaccine Candidates via Protein-Protein Interaction Identification in Glycoengineered CHO cells.,direct,ptm_degradation,direct_target,central,"ied, along with H2O2 and tyramide-biotin. This biotinylated the proteins interacting with sE1E2. Biotinylated proteins were then pulled down and identified via mass spectrometry (MS). We applied BAR and RNA-Seq to the geCHO cells expressing E1E2 to identify protein interactors, especially in the secretory pathway, such as those in the ER and Golgi apparatus involved in translocation, protein folding, vesicle transport, quality contro",Introduction,none,high
pmid-40463129,40463129,The decameric repeat (DR) of PSGL-1 functions as a basic antiviral unit in restricting HIV-1 infectivity.,direct,interaction_cofactor,direct_target,central,"has also been suggested to directly interact with E-selectin for supporting E-selectin-dependent rolling15. Recent research has identified PSGL-1 as an HIV-1 restriction factor that blocks HIV infectivity16,17. Mechanistically, during HIV assembly, PSGL-1 is incorporated into virion particles, where it inactivates HIV through steric hindrance, preventing the virus from attaching to target cells17,18. Given the critical role of DR in",INTRODUCTION,none,medium
pmid-40432843,40432843,Label-free quantitative proteomics of gastric high-grade intraepithelial neoplasia.,indirect,localization_retention,pathway_or_context,supporting,"s are relatively easy to obtain. Abnormal protein expression plays a principal function in the occurrence as well as the development of gastric cancer (16,17). Proteomic studies have been reported on gastric cancer, and certain differentially expressed proteins (DEPs), such as fibrinogen α-chain, apolipoprotein A-II, vitronectin and clusterin isoform 1, have been screened (18,19). Another study from Singapore, comparing plasm",Introduction,reviewer_calibration,medium
pmid-40431704,40431704,TAR RNA Mimicry of INI1 and Its Influence on Non-Integration Function of HIV-1 Integrase.,direct,localization_retention,direct_target,central,"stance to such drugs. Drug-resistant mutations in the virus, while preventing the viral protein from binding to the drug, may also inhibit interaction with the host factor, making the virus defective for replication. A broader understanding of host–virus interactions and their interfaces is needed to develop new classes of drugs that target these interactions. Integrase (IN) is an essential virus-encoded enzyme that catalyzes",1. Introduction,none,medium
pmid-40414289,40414289,LncRNA MALAT1 Facilitates HIV-1 Replication by Upregulation of CHCHD2 and Downregulation of IFN-I Expression.,direct,localization_retention,direct_target,central,"rain, and further analyzed for RNA-sequencing. After target lncRNA (MALAT1) was found, specific siRNA was transfected into MDMs to knock down, and submitted to proteomics analysis to explore the protein expression profile regulated by MALAT1 in MDMs. It is emphasized that these results regarding the relationship between MALAT1 and CHCHD2 from mass spectrometry analysis were verified on THP-1, using the strategies of MALAT1 kno",Experimental Design and Statistical Rationale,none,high
pmid-40352189,40352189,"Mechanistic insights into the anticancer, anti-inflammatory, and antioxidant effects of yellowfin tuna collagen peptides using network pharmacology.",exclude,localization_retention,incidental,incidental,"FTCP using a network pharmacology approach. In this study, 18 peptides from yellowfin tuna collagen were identified using liquid chromatography-high resolution mass spectrometry (LC-HRMS). Their interactions with key genes associated with cancer and inflammation were explored through enrichment analyses, including gene ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway analyses. This study is expected to uncover",Introduction,tighten_query,high
pmid-40348023,40348023,Exploiting host kinases to combat dengue virus infection and disease.,direct,localization_retention,direct_target,central,"with the endosomal membrane followed by the uncoating and release of the viral genome from the capsid28–38. Subsequent targeting of the viral RNA to the rough endoplasmic reticulum creates a specialized environment for localized DENV genome replication coupled with protein synthesis24,39–49. NS5, the RNA-dependent RNA polymerase, works in conjunction with the other non-structural proteins for RNA replication. DENV RNA is translated, pri",Dengue virus infection cycle,none,medium
pmid-40344061,40344061,Suppression of HIV-1 transcription and latency reversal via ectopic expression of the viral antisense transcript AST.,direct,localization_retention,direct_target,central,"lCD; figs. S1 and S2) had a profound effect (Fig. 3A and fig. S5), suggesting that domains C and D may contribute to the interaction between AST and additional host factors. To address this hypothesis, we fractionated JE4-AST whole cell lysates by size exclusion chromatography. RT-qPCR analyses showed that ~80% of AST eluted in a very narrow range of fractions containing macromolecular complexes of ≥2.2 MDa in size (Fig. 3B). G",Identification of additional AST interactors at the 5′ LTR,none,high
pmid-40343334,40343334,"Multi-cohort cross-omics analysis reveals disease mechanisms and therapeutic targets in HTLV-1-associated myelopathy, a neglected retroviral neuroinflammatory disorder.",indirect,interaction_cofactor,pathway_or_context,supporting,"ot). The lead SNP, rs56185814, associated with an increased HAM risk (OR = 2.73, 95% CI = 1.91–3.89, p = 1.49x10−8), is intronic and may result in differential splicing. This SNP is rare in ASN populations (1000 Genomes, inset Fig. 1B), explaining its absence in the Japanese GWAS, but has frequencies of 0.50, 0.07, and 0.05 in AFR, AMR, and EUR populations, respectively. Genome-wide suggestive and significant variants in str",GWAS in admixed Brazilians reveals ancestry-specific HAM loci while polygenic risk scores replicate across cohorts,reviewer_calibration,medium
pmid-40331967,40331967,Transcriptomic Analysis Reveals Key Pathways Influenced by HIV-2 Vpx.,direct,ptm_degradation,direct_target,central,"association with the DDB1- and CUL4-associated factor 1 (DCAF1), damage specific DNA binding protein 1 (DDB1), cullin4 (Cul4) and Ring box protein1 containing E3 ubiquitin ligase complex (Rbx1) [8,9]. Association with the E3 ubiquitin ligase complex allows Vpx to target host proteins for proteasomal degradation, mainly the sterile alpha motif and HD domain protein 1 (SAMHD1); a dGTP-regulated deoxynucleoside triphosphohydrolase, which",1. Introduction,none,medium
pmid-40301432,40301432,Ophthalmological manifestations and plasma markers of inflammation in Ebola survivors in post-treatment era.,indirect,interaction_cofactor,pathway_or_context,supporting,"m for 15 min), then stored at −80 °C until testing. The Olink Proximity Extension Assay (PEA) Inflammation Panel (Olink Explore 384 Inflammation Panel I, Olink proteomics, Uppsala, Sweden), which contains number of circulating target proteins, was used to analyze the samples from a randomly selected subset of the study population made of 56 survivors and 69 controls (32 close contacts and 37 healthy controls). This assessment","Plasma collection, storage, and biomarkers screening",reviewer_calibration,medium
pmid-40295851,40295851,Structural dynamics of the dengue virus non-structural 5 (NS5) interactions with promoter stem-loop A (SLA).,direct,localization_retention,direct_target,central,"lyprotein. The polyprotein is cleaved by viral and cellular proteases into three structural proteins and seven non-structural (NS) proteins11. The dengue viral replication complex (RC), which consists of some virally-encoded non-structural (NS) proteins, and the template viral RNA genome along with some host factors, is tasked with replicating the viral genome and capping the viral RNA at the 5’ untranslated region (5’-UTR)12–15. The n",Introduction,none,high
pmid-40288648,40288648,Ebola virus nucleoprotein interaction with host protein phosphatase-1 regulates its dimerization and capsid formation.,direct,localization_retention,direct_target,central,P-associated proteins were resolved on 10% SDS PAGE and in-gel digested. Peptides were extracted and analyzed by tandem liquid chromatography Fourier transform mass spectrometry (LC-FT/MS) followed by label-free quantitative analysis using Proteome Discover 2.5. We detected peptides from 690 proteins bound to NP E619K versus WT NP including 150 proteins that were bound at higher levels to NP E619K (Fig. 2A and Table S3). Catalytic su,NP E619K mutation enhances PP1 binding,none,high
pmid-40288237,40288237,Quantifying temporal differences in the induction of interferon-mediated signalling observed in a dengue virus 1 human infection model: insights from longitudinal proteome analysis.,direct,interaction_cofactor,direct_target,central,"ngue disease progression, which might reduce morbidity and mortality associated with dengue. We searched the Pubmed database using the terms ((“Dengue”) AND (“Proteomics”). We identified 274 papers, of which 25 concerned biomarkers. One paper described relative levels of 368 inflammatory markers in plasma samples from patients with lab-confirmed dengue, but no proteome-wide data or detailed temporal proteome dynamics are curr",Evidence before this study,none,high
pmid-40282183,40282183,Viral Fragments in the Urine Proteome: New Clues to the Cause of Fever.,exclude,stability_turnover,incidental,incidental,"ite the continuous advancements in medicine, accurately determining the root causes of fever in some febrile patients remains a formidable challenge [3]. Urine proteomics has shown great potential in the exploration and analysis of biomarkers [4]. Compared with other biological samples, urine has unique advantages: it is less strictly regulated by the physiological steady-state mechanism, so it can more sensitively capture the",1. Introduction,tighten_query,high
pmid-40272155,40272155,HIV-1 Nef activates proviral DNA transcription by recruiting Src kinase to phosphorylate host protein Nef-associated factor 1 to compromise its viral restrictive function.,direct,localization_retention,direct_target,central,"promote viral infection, transmission, and immune escape. The interactions between Nef proteins of HIV-1 or simian immunodeficiency virus (SIV) and other viral/host proteins are required for efficient viral replication and pathogenesis (22–24). Nef does not harbor catalytic activity, but it exerts functions by recruiting multiple host proteins to activate cellular signaling cascades. Nef protein from all major HIV-1 clades could",INTRODUCTION,none,medium
pmid-40248217,40248217,FUBP3 enhances HIV-1 transcriptional activity and regulates immune response pathways in T cells.,direct,interaction_cofactor,direct_target,central,"site (TSS).12,13,14 It includes binding sites for host TFs, such as TATA binding protein; general TFs such as TFIIA, TFIIB, and TFIIF; nuclear factor kappa B (NF-κB); and specificity protein 1 (Sp1), which initiate the formation of the preinitiation complex (PIC).15,16,17,18 Following the recruitment of TFIIH, which includes CDK7, RNA polymerase II (RNAPII) is phosphorylated at the Ser5 residue of the carboxy-terminal do",Introduction,none,high
pmid-40245053,40245053,Heat shock factor 2 regulates oncogenic gamma-herpesvirus gene expression by remodeling the chromatin at the ORF50 and BZLF1 promoter.,background,ptm_degradation,incidental,incidental,"roteins (HSPs), including HSP70 and HSP90, which function as molecular chaperones and are often hijacked by the viral replication machineries [17,18]. HSPs are host factors required for productive viral replication, where large amounts of essential, structural viral proteins need to be appropriately folded [18]. Additionally, both HSP70 and HSP90 are associated with the newly produced EBV and KSHV viral particles [19]. HSP70 has",Introduction,tighten_query,medium
pmid-40198850,40198850,"APOBEC3G Antagonism by Vif, or When Structure Meets Biological and Evolutionary Studies.",indirect,ptm_degradation,pathway_or_context,supporting,"h as Human Immunodeficiency Virus (HIV) and Simian Immunodeficiency Virus (SIV), encode accessory proteins that counteract the antiviral defenses posed by host innate immune proteins known as restriction factors. Restriction factors function to block viral replication at various stages of the viral lifecycle. One example of a host encoded restriction factor is APOBEC3G (A3G) (1), as well as other members of the APOBEC3 (A3) famil",Introduction,reviewer_calibration,medium
pmid-40188851,40188851,Common host factors for internal ribosomal entry site-mediated translation of viral genomic RNA: An investigation in foot-and-mouth disease and classical swine fever viruses.,background,ptm_degradation,incidental,incidental,"depends on a detailed knowledge of how these viruses are able to infect their hosts. Both FMDV and CSFV utilize internal ribosomal entry site (IRES)-mediated translation, rather than canonical, cap-dependent translation in their genomes. They both possess IRES element in the 5′- UTR regions of their genomic RNA to drive viral protein translation (Belsham and Brangwyn, 1990; Grubman and Baxt, 2004; Rijnbrand et al., 1997). FMD",Introduction,tighten_query,medium
pmid-40186866,40186866,Molecular basis for the increased fusion activity of the Ebola virus glycoprotein epidemic variant A82V: Insights from simulations and experiments.,direct,localization_retention,direct_target,central,c interactions that links the receptor-binding site to the fusion loop. Our previous study demonstrated that residue H154 in GP1 senses pH changes during viral trafficking to the late endosome.11 We reported that protonation of H154 led to destabilization of electrostatic interactions with Y534 in the fusion loop. The present study of A82V suggests that the same allosteric network is utilized for the promotion of conformational,DISCUSSION,none,medium
pmid-40168125,40168125,Lenacapavir disrupts HIV-1 core integrity while stabilizing the capsid lattice.,direct,localization_retention,direct_target,central,"Next, we determined whether GFP-CA incorporation into the capsid lattice alters the sensitivity to MX2, a host restriction factor that binds a negatively charged pocket at the interface of three CA hexamers on the surface of the HIV-1 capsid and inhibits nuclear import (39–41). Viruses were labeled with increasing amounts of GFP-CA or cmGFP by cotransfection of HIV-1 plasmids expressing",GFP-CA Incorporation Into the Capsid Lattice Reduces Sensitivity to MX2 Restriction.,none,medium
pmid-40112111,40112111,MITD1 is a brain-specific interferon-inducible factor that inhibits flavivirus replication.,background,ptm_degradation,incidental,incidental,"tion from the mean. Among the 38 statistically significant hits (z-score < −3 for human and z-score < −2 for macaque and bovine ISGs) were proteins involved in innate immune signaling, including DDX58, DDX60, STING-1, IRF1, IRF7, and STAT2 (33, 34), validating the accuracy of the screen. The antiviral activity of the 13 best hits was confirmed in a secondary screen using 22 control genes for normalization and plotted as a two-di",ISG-Expression Screens Identify MITD1 as a Restriction Factor for Flaviviruses.,tighten_query,medium
pmid-40093084,40093084,Murine Leukemia Virus GlycoGag Antagonizes SERINC5 via ER-phagy Receptor RETREG1.,indirect,ptm_degradation,pathway_or_context,supporting,"g) are two unrelated accessory proteins expressed from human immunodeficiency virus type 1 (HIV-1) or murine leukemia virus (MLV), but antagonize the same host restriction factor, serine incorporator 5 (SERINC5) that strongly blocks virus entry [1]. SERINC5 (Ser5) was originally discovered in human T cells that restricts HIV-1 infection but is antagonized by Nef [2, 3]. Ser5 also restricts MLV and other enveloped viruses [4-11]. Huma",INTRODUCTION,reviewer_calibration,medium
pmid-40084071,40084071,Protocol for Screening Host-Targeting Antivirals (HTAs) Using Human PBMCs and pDCs.,background,ptm_degradation,incidental,incidental,"lack broad-spectrum efficacy and are prone to resistance from rapidly mutating viruses due to their specificity. Host-targeting antivirals (HTAs), which target host proteins or pathways essential for viral replication, offer a promising alternative [9], providing a higher genetic barrier to resistance and broad-spectrum activity. The FDA-approved Maraviroc medication for HIV-1 highlights the growing importance of HTAs in antivira",Background,tighten_query,medium
pmid-40067013,40067013,BET degraders reveal BRD4 disruption of 7SK and P-TEFb is critical for effective reactivation of latent HIV in CD4+ T-cells.,direct,ptm_degradation,direct_target,central,"degrade the protein of interest rather than simply inhibit its function. Specifically, these degraders are a bifunctional molecule that simultaneously binds an E3 ubiquitin ligase and a protein of interest (POI), resulting in ubiquitination of the POI by the E3 ligase complex and POI degradation by the proteasome (Fig. 1A). Unique features of chemical degraders include (i) degradation versus inhibition of target molecules, (ii) ability",INTRODUCTION,none,medium
pmid-40063648,40063648,Unidirectional recruitment between MeCP2 and KSHV-encoded LANA revealed by CRISPR/Cas9 recruitment assay.,direct,localization_retention,direct_target,central,"at elements to visualize these elements in fixed [31] and live cells [32–34]. Here, we harness CRISPR/Cas9 to determine recruitment relations between LANA and cellular proteins. We termed this method CRISPR-PITA for Protein Interaction and Telomere recruitment Assay. We combined the ability of the SunTag system [35] to gather up to ten molecules of a protein of interest with CRISPR/dCas9 targeted to a repeat sequence such as telomer",Introduction,none,medium
pmid-40047437,40047437,HSV-1 UL56 protein recruits cellular NEDD4-family ubiquitin ligases to suppress CD1d expression and NKT cell function.,indirect,ptm_degradation,pathway_or_context,supporting,"ion library of HSV-1 and screened for additional viral gene(s) that contribute to CD1d suppression. Here, we reported that UL56, an adaptor protein of cellular ubiquitin ligases, is another major viral protein that participates in the modulation of CD1d expression.",INTRODUCTION,reviewer_calibration,medium
pmid-40029073,40029073,"Impairment of endocytosis-related factors FNBP1L, ARHGAP24, and ATP6V1B1 increases HIV-1 entry into dendritic cells.",direct,localization_retention,direct_target,central,"HIV contacts are possible (6–9). DCs are not highly permissive to productive HIV-1 infection, a resistance attributed to various restriction factors, including SAMHD1 (10, 11), which blocks viral replication early in the infection process. Despite this, HIV-1 is capable of exploiting DCs to facilitate viral dissemination, as DCs can capture virions without productive infection, migrate to lymphoid tissues, and transfer vir",INTRODUCTION,none,medium
pmid-40007014,40007014,The Deubiquitinase OTUD1 Influences HIV-1 Release by Regulating the Host Restriction Factor BST-2.,direct,ptm_degradation,direct_target,central,"ion through the process of host–virus co-evolution. These restriction factors can exert antiviral effects at multiple stages of the viral life cycle, including viral entry, reverse transcription, integration, viral protein translation, and virion packaging and release, constituting the first barrier of the intrinsic cellular response to infection [1]. Multiple host restriction factors have been identified to date. For example,",1. Introduction,none,medium
pmid-40005559,40005559,Functional Roles and Host Interactions of Orthoflavivirus Non-Structural Proteins During Replication.,indirect,ptm_degradation,pathway_or_context,supporting,"his virus cycle disrupts the local cellular microenvironment and triggers global host dysregulation via altered transcription, diverted cellular materials, and host factor manipulation. Deciphering these virus-host interactions demands powerful molecular techniques.",1. Introduction,reviewer_calibration,medium
pmid-39969998,39969998,Druggable genome screens identify SPP as an antiviral host target for multiple flaviviruses.,indirect,ptm_degradation,pathway_or_context,supporting,"To identify potential host factors as druggable targets for virus infection, we constructed a lentiviral transfer plasmid library comprising 30,328 single-guide RNAs (sgRNAs) designed to disrupt 7,463 human druggable genes (Fig. 1A). This gene set was derived from a prior study and includes ge",Druggable Genome CRISPR-Cas9 Screens Identify Potential Drug Targets for Dengue Viruses.,reviewer_calibration,medium
pmid-39937027,39937027,Comprehensive SUMO Proteomic Analyses Identify HIV Latency-Associated Proteins in Microglia.,direct,ptm_degradation,direct_target,central,"ammatory diseases [9,10,11,12]. In recent years, SUMOylation has gained increasing attention for its role in shaping host–pathogen interactions [13,14]. Small ubiquitin-related modifiers (SUMO, 18 kD) are members of the ubiquitin-like family of proteins that target lysine residues by covalent conjugation on a number of target proteins [15]. The SUMOylation pathway is most analogous to ubiquitination in that it involves an E1",1. Introduction,none,high
pmid-39936917,39936917,FBXO45 restricts HIV-1 replication by inducing SQSTM1/p62-mediated autophagic degradation of Tat.,direct,ptm_degradation,direct_target,central,"ng with p-TEFb for binding to HIV-1 Tat, leading to the inhibition of viral transcription and establishment of viral latency (16). Tat also undergoes selective autophagy-mediated degradation (17). These observations suggest that Tat regulation is a multifaceted process involving various host factors, indicating the significant potential for further investigation. To gain a comprehensive interpretation of Tat regulation, we e",INTRODUCTION,none,high
pmid-39929804,39929804,Macrocycle-based PROTACs selectively degrade cyclophilin A and inhibit HIV-1 and HCV.,direct,ptm_degradation,direct_target,central,"ral proteins, but disadvantages include the rapid evolution of resistance mutations and narrow inhibitor specificity against closely related viruses. Targeting host proteins essential for viral replication, also known as cofactors, is an alternative and under-explored approach. Unrelated viruses often depend on the same host proteins for replication making cofactors potential targets for broad-spectrum antivirals. Cofactor target",Introduction,none,high
pmid-39927772,39927772,"IFI16 recruits HDAC1 and HDAC2 to deacetylate the Kaposi's sarcoma-associated herpesvirus (KSHV) latency-associated nuclear antigen (LANA), facilitating latency.",direct,localization_retention,direct_target,central,"cy to lytic reactivation. KSHV, like all other viruses, exploits the cellular machinery of its host at multiple levels to orchestrate its molecular processes. Interferon-γ-inducible protein 16 (IFI16), a member of the HIN-200 (hematopoietic interferon-inducible nuclear proteins with 200 amino acid repeats) family of cytokines, is a nuclear sensor for foreign double-stranded and single-stranded DNA that plays crucial roles in",INTRODUCTION,none,high
pmid-39912635,39912635,Longitudinal analysis of rhesus macaque metabolome during acute SIV infection reveals disruption in broad metabolite classes.,indirect,localization_retention,pathway_or_context,supporting,"n viremic HIV-1 infection, NK cells exhibit impaired oxidative phosphorylation, reduced metabolic reserve, and mitochondrial defects, coinciding with decreased interferon response (29, 30). HIV-specific CD8+ T cells from non-controllers of HIV show more dependence on glycolysis and use less diverse metabolic pathways than those of HIV controllers (31), highlighting a role of metabolic plasticity in anti-HIV activity. Similarly",INTRODUCTION,reviewer_calibration,medium
pmid-39912544,39912544,Integrated Metabolomics and Proteomics Analysis of the Myocardium in a Mouse Model of Acute Viral Myocarditis.,indirect,interaction_cofactor,pathway_or_context,supporting,"le of individuals with cardiovascular diseases. Currently, the main metabolomics analysis platforms include ultra‐high‐performance liquid chromatography‐tandem mass spectrometry (UHPLC‐MS/MS), gas chromatography‐mass spectrometry (GC‐MS), and nuclear magnetic resonance (NMR), each with its own advantages and shortcomings [13]. Kong et al. [14] recently identified differential metabolites (DMs) in the myocardium of AVMC, chronic viral",Introduction,reviewer_calibration,medium
pmid-39891216,39891216,Multi-omics dissection of metabolic dysregulation associated with immune recovery in people living with HIV-1.,direct,stability_turnover,direct_target,central,"ts [16]. In addition, GM3 had been shown to be induced by TNF treatment in cultured adipocytes [40]. Our multi-omics characterization underscores dysregulated lipid metabolism in PLWH on ART. As an example, the positive correlations between CD8 T cell counts and plasma TAGs emerged only in PLWH on ART, but not TNs. Plasma TAGs were also positively correlated with CCL19, but inversely associated with IL-18R1, while no correlation be",Discussion,none,medium
pmid-39887213,39887213,CRISPR editing of candidate host factors that impact influenza A virus infection.,background,ptm_degradation,incidental,incidental,"e-wide screening methods, mainly arrayed small interfering RNA (siRNA) and pooled short hairpin RNA (shRNA)-based screens, have been used to identify essential host factors necessary for productive IAV infection (2–7), but inconsistencies between studies are problematic (reviewed in [8]). CRISPR-Cas9 systems minimize the drawbacks of using RNAi-based systems as they have fewer off-target effects and allow for the generation of p",INTRODUCTION,tighten_query,medium
pmid-39864060,39864060,Structural insights into HIV-2 CA lattice formation and FG-pocket binding revealed by single-particle cryo-EM.,direct,localization_retention,direct_target,central,"n and lower viral loads compared to HIV-1.5–7 During HIV-1 or HIV-2 infection, the capsid is a necessary component that protects the viral genome and recruits host factors while trafficking to the nucleus.8–10 Acting as the shell of the virus core, the capsid is a major nexus for interactions with a large array of both pro-viral and restrictive host factors.11,12 The vital role of the capsid and the many proteins targeting it a",INTRODUCTION,none,medium
pmid-39840809,39840809,Hijacking of plasminogen by dengue virus: The kringle-4 and -5 domains of plasminogen binds synergistically to the domain I of envelope protein.,direct,localization_retention,direct_target,central,"at two acidic “DXD” motifs on KR4 and KR5 of human plasmin are needed for the protein to interact with DENV; albeit, with different modes of binding. Using HDX‐mass spectrometry analysis, we mapped two proximally located lysine‐containing regions on domain I of DENV E‐protein as the region buried by plasmin and likely employed by DENV to hijack plasmin for mosquito infection.",INTRODUCTION,none,high
pmid-39834870,39834870,Dengue virus and Zika virus alter endoplasmic reticulum-mitochondria contact sites to regulate respiration and apoptosis.,direct,localization_retention,direct_target,central,"within the Flaviviridae family. Following entry into the host cell, the viral RNA genome (vRNA) is translated into a single polyprotein at the membrane of the endoplasmic reticulum (ER). This viral protein product is cleaved by host and viral proteases, generating three structural proteins (C, prM, and E) which assemble with the vRNA to form new viral particles, and seven non-structural proteins (NS1, NS2A, NS2B, NS3, NS4A, NS4B, and NS",Introduction,none,high
pmid-39823525,39823525,The nuclear localization signal of CPSF6 governs post-nuclear import steps of HIV-1 infection.,direct,localization_retention,direct_target,central,"ritically, NPCs are responsible for maintaining the nuclear permeability barrier, which restricts entry of many proteins while simultaneously allowing directed trafficking of hundreds to thousands of cargoes per second [4,5]. As a result, nucleocytoplasmic trafficking is a complex and tightly regulated process. To ensure the correct cargo is being transported into the nucleus, short amino acid sequences called nuclear localizat",Introduction,none,medium
pmid-39726359,39726359,To be or not to be phosphorylated: understanding the role of Ebola virus nucleoprotein in the dynamic interplay with the transcriptional activator VP30 and the host phosphatase PP2A-B56.,direct,localization_retention,direct_target,central,"get cells [9]. The matrix protein VP40 is involved in the budding of novel viral particles, while VP24 plays a role in nucleocapsid condensation and subsequent trafficking to the budding sites at the plasma membrane [10–13]. The single-stranded RNA (both genomic and antigenomic) is encapsidated by NP, which is essential for viral RNA synthesis by the other nucleocapsid proteins: the polymerase L, its cofactor VP35 and the trans",Introduction,none,high
pmid-39677468,39677468,Plasma proteomics for novel biomarker discovery in childhood tuberculosis.,indirect,localization_retention,pathway_or_context,supporting,"ase manifestations in children. The development of pediatric-specific host biosignatures is a global priority for early detection of pediatric TB cases7. While mass spectrometry (MS) based proteomic analysis enables a broad untargeted approach to biomarker discovery, previous plasma proteomics efforts to identify plasma biosignatures of pediatric TB disease have been limited by small sample size, variable reference standards, and exc",Introduction,reviewer_calibration,medium
pmid-39655951,39655951,Deubiquitinase USP37 enhances the anti-HIV-2/SIV ability of the host restriction factor SAMHD1.,direct,ptm_degradation,direct_target,central,"attributed to the presence of the virion-associated Vpx accessory protein, which effectively counteracts the host’s intrinsic restriction mechanisms (5–7). The restriction factor inhibiting HIV/SIV infection in human primary myeloid cells was identified as the cellular sterile alpha motif (SAM) and HD domain-containing protein 1 (SAMHD1) (8). SAMHD1, with its extended HD domain, exhibits deoxynucleotide triphosphohydrolase activity an",INTRODUCTION,none,high
pmid-39653243,39653243,The host restriction factor SERINC5 inhibits HIV-1 transcription by negatively regulating NF-κB signaling.,direct,ptm_degradation,direct_target,central,"0, the viral production from H9-HXB2-SER5 cells remained significantly lower than that from H9-HXB2 cells (Fig. 1C), indicating that SER5 not only inhibits the viral entry into cells but also reduces HIV-1 virion production from infected cells.Figure 1SER5 inhibits HIV-1 production by downregulating viral gene expression at the mRNA level.A, H9-HXB2 and H9-HXB2-SER5 cells were cultured for 48 h, and the infectivity of equal vir",SER5 reduces HIV-1 virion production by downregulating viral transcription,none,medium
pmid-39636148,39636148,Analysis of the ubiquitin-modified proteome identifies novel host factors in Kaposi's sarcoma herpesvirus lytic reactivation.,indirect,ptm_degradation,pathway_or_context,supporting,"To maintain a latent infection, several checkpoints and mechanisms of regulation are bypassed to progress through the cell cycle without triggering apoptosis, autophagy, or an antiviral response. Dysregulation of critical processes such as cell cycle control, apoptosis, and immune response-related signaling pathways is believed to be associated with the development of an oncogenic environment. In addition to virus propagatio",INTRODUCTION,reviewer_calibration,medium
pmid-39576110,39576110,Interaction of the Wolbachia surface protein with a novel pro-viral protein from Aedes aegypti.,indirect,localization_retention,pathway_or_context,supporting,"ir proteins in several ways to achieve this. For example, WalE1 co-localizes and bundles with actin and also binds to cellular Past1 protein to manipulate host endocytosis (17). Similarly, Wolbachia protein wBm0076 was found to co-localize with actin in nematodes and disrupt actin dynamics (18). In another report, Wolbachia was found to encode a conserved Wolbachia surface protein (wBm0152) in nematodes, which interacts with th",INTRODUCTION,reviewer_calibration,medium
pmid-39354676,39354676,HIV-1 inhibits IFITM3 expression to promote the infection of megakaryocytes.,direct,localization_retention,direct_target,central,"om virus-induced injury (Boilard and Flamand, 2019; Campbell et al., 2019). One intrinsic antiviral factor expressed by megakaryocytes and their progenitors is interferon-induced transmembrane protein 3 (IFITM3) (Majdoul and Compton, 2022), which blocks the entry and replication of a variety of viruses (Brass et al., 2009; Weidner et al., 2010; Huang et al., 2011). Here, we investigated whether IFITM3 is implicated in the inte",Introduction,none,medium
pmid-38712082,38712082,PARP14 is an interferon (IFN)-induced host factor that promotes IFN production and affects the replication of multiple viruses.,indirect,ptm_degradation,pathway_or_context,supporting,"Virus infection causes activation of host immune responses, with the interferon (IFN) response being the major pathway activated. Recognition of viral pathogen-associated molecular patterns (PAMPs) by host surface and cytosolic receptors leads to a series of molecular events that activates the expression of different types of IFNs, that",INTRODUCTION,reviewer_calibration,low
pmid-40977882,40977882,Protein Assembly Modulation: A New Approach to Amyotrophic Lateral Sclerosis (ALS) Therapeutics.,indirect,ptm_degradation,pathway_or_context,supporting,"lial, for which specific gene mutations have been identified [16–18]. The proteins encoded by these genes, and those with which they interact, comprise the ALS interactome [5,19]. The specifics of how exactly these gene products work together normally, or malfunction to cause ALS, have not been established [20]. Likewise, specific toxins have been implicated in the increased incidence of ALS-like syndromes, but their significan",Amyotrophic lateral sclerosis,reviewer_calibration,medium
pmid-39902183,39902183,SERINC5 counters retroviruses and non-retroviruses.,background,ptm_degradation,incidental,incidental,"iction factors effectively inhibit viral replication. Restriction factors as pathogen recognition receptors (PRRs) often stimulate the immune system to produce interferon (IFN), and IFN, in turn, increases the level of restriction factors, which creates a positive feedback loop that helps the host eliminate viral infections (Firrito et al., 2018). Serine incorporator (SERINC) proteins exert antiviral function against retroviru",Introduction,tighten_query,medium
pmid-39861832,39861832,Host RNA-Binding Proteins as Regulators of HIV-1 Replication.,direct,ptm_degradation,direct_target,central,"d thus represent a major barrier to cure strategies [6]. Transcription from the proviral DNA gives rise to a 9 kb full-length RNA, which undergoes alternative splicing to allow the synthesis of more than 100 viral mRNAs that give rise to 15 viral proteins [7]. At the beginning of the late phase, the 9 kb RNA is fully/multiply spliced (MS RNA) into viral transcripts of about 2 kb, which code the regulatory proteins Tat and R",1. Introduction,none,high
pmid-39839102,39839102,Epigenetic and epitranscriptomic regulation during oncogenic γ-herpesvirus infection.,indirect,ptm_degradation,pathway_or_context,supporting,"bsequently undergoes significant changes to acquire various contrarian histone marks. These contrarian epigenetic reprogramming is often concomitant, following viral entry into the cell and includes both activating modifications (e.g., H3K4me3 and H3K36me3) as well as deactivating modifications (e.g., H3K27me3 and H3K9me3) (Srivastava et al., 2023; Dong and Weng, 2013; Campbell et al., 2020). The KSHV latent genome is known to",Epigenetic histone marks in KSHV infection,reviewer_calibration,low
