paper_id,pmid,pmcid,doi,title,year,publication_types,final_decision,final_rationale,selection_basis,fulltext_access_status,normalized_source_type,normalized_path,review_confidence
pmid-17429055,17429055,PMC2129125,10.1681/ASN.2006060625,Pax transactivation-domain interacting protein is required for urine concentration and osmotolerance in collecting duct epithelia.,2007,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-17429055.json,high
pmid-16885413,16885413,,10.1681/ASN.2005111157,Akt and Mammalian target of rapamycin regulate separate systems of proteolysis in renal tubular cells.,2006,"Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S.",selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-16885413.json,medium
pmid-16494873,16494873,,10.1016/j.febslet.2006.02.011,Sumoylation of the SOX10 transcription factor regulates its transcriptional activity.,2006,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-16494873.json,medium
pmid-16300735,16300735,,10.1016/j.bbrc.2005.10.214,Transcriptional activity of Pax3 is co-activated by TAZ.,2006,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-16300735.json,high
pmid-15355349,15355349,,10.1111/j.1432-1033.2004.04312.x,The HNF1beta transcription factor has several domains involved in nephrogenesis and partially rescues Pax8/lim1-induced kidney malformations.,2004,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-15355349.json,medium
pmid-15149326,15149326,,10.1111/j.1523-1755.2004.00639.x,Suppression of chaperone-mediated autophagy in the renal cortex during acute diabetes mellitus.,2004,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, U.S. Gov't, P.H.S.",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-15149326.json,high
pmid-15143176,15143176,PMC416398,10.1128/MCB.24.11.4824-4834.2004,Paired-type homeodomain transcription factors are imported into the nucleus by karyopherin 13.,2004,"Journal Article;Research Support, U.S. Gov't, P.H.S.",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-15143176.json,high
pmid-11607823,11607823,,10.1038/sj.onc.1204599,Gene fusions involving PAX and FOX family members in alveolar rhabdomyosarcoma.,2001,"Journal Article;Research Support, U.S. Gov't, P.H.S.;Review",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-11607823.json,high
pmid-11244500,11244500,,10.1038/sj.onc.1204063,Regulation of Pax3 transcriptional activity by SUMO-1-modified PML.,2001,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-11244500.json,high
pmid-11059777,11059777,,,Hormone-dependent tumor regression in vivo by an inducible transcriptional repressor directed at the PAX3-FKHR oncogene.,2000,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, U.S. Gov't, P.H.S.",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-11059777.json,high
pmid-10748034,10748034,,10.1074/jbc.M001551200,BSAP (Pax5)-importin alpha 1 (Rch1) interaction identifies a nuclear localization sequence.,2000,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-10748034.json,high
pmid-9737963,9737963,,10.1074/jbc.273.39.25062,Redox potential controls the structure and DNA binding activity of the paired domain.,1998,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-9737963.json,high
pmid-9288908,9288908,,10.1111/j.1432-1033.1997.00860.x,Determination of functional domains of the human transcription factor PAX8 responsible for its nuclear localization and transactivating potential.,1997,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-9288908.json,high
pmid-39981965,39981965,,10.1080/10715762.2025.2470900,Down-regulation of Selenoprotein K impairs the proliferation and differentiation of chicken skeletal muscle satellite cells by inhibiting the Nrf2 antioxidant signaling pathway.,2025,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-39179932,39179932,,10.1038/s41590-024-01933-7,"Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",2024,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-39044030,39044030,,10.1007/s00421-024-05565-5,"A single, maximal dose of celecoxib, ibuprofen, or flurbiprofen does not reduce the muscle signalling response to plyometric exercise in young healthy adults.",2024,Journal Article;Randomized Controlled Trial,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-36892588,36892588,,10.1007/s00223-023-01073-4,Urotensin II can Induce Skeletal Muscle Atrophy Associated with Upregulating Ubiquitin-Proteasome System and Inhibiting the Differentiation of Satellite Cells in CRF Mice.,2023,"Journal Article;Research Support, Non-U.S. Gov't",abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-34852207,34852207,,10.1152/ajpcell.00344.2021,Aerobic exercise and resistance exercise alleviate skeletal muscle atrophy through IGF-1/IGF-1R-PI3K/Akt pathway in mice with myocardial infarction.,2022,"Journal Article;Research Support, Non-U.S. Gov't",abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-34340000,34340000,,10.1016/j.aquatox.2021.105926,Behavioral effects of early-life exposure to perfluorooctanoic acid might synthetically link to multiple aspects of dopaminergic neuron development and dopamine functions in zebrafish larvae.,2021,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-33660125,33660125,,10.1007/s11655-021-2865-0,Wide Pulse Width Electroacupuncture Ameliorates Denervation-Induced Skeletal Muscle Atrophy in Rats via IGF-1/PI3K/Akt Pathway.,2021,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-32693409,32693409,PMC7819760,10.1182/blood.2020006164,Molecular basis of ETV6-mediated predisposition to childhood acute lymphoblastic leukemia.,2021,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-32841355,32841355,,10.1210/clinem/dgaa584,Congenital Hypothyroidism Due to Truncating PAX8 Mutations: A Case Series and Molecular Function Studies.,2020,"Case Reports;Journal Article;Research Support, Non-U.S. Gov't",abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-31441945,31441945,,10.1111/cup.13571,Concurrent cutaneous localization of Langerhans cell sarcoma and chronic lymphocytic leukemia/small lymphocytic lymphoma in a patient with a history of chronic lymphocytic leukemia/small lymphocytic lymphoma.,2020,Case Reports;Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-31494105,31494105,,10.1016/j.cbi.2019.108813,"""Verteporfin exhibits anti-proliferative activity in embryonal and alveolar rhabdomyosarcoma cell lines"".",2019,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-30676333,30676333,,10.1097/PAS.0000000000001219,Adenocarcinoma of the Rete Testis: Clinicopathologic and Immunohistochemical Characterization of 6 Cases and Review of the Literature.,2019,Journal Article;Review,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-30352879,30352879,,10.2337/db18-0285,"Transient PAX8 Expression in Islets During Pregnancy Correlates With β-Cell Survival, Revealing a Novel Candidate Gene in Gestational Diabetes Mellitus.",2019,"Journal Article;Research Support, Non-U.S. Gov't",abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-29561272,29561272,,10.1097/PAI.0000000000000635,Novel Finding of Paired Box 5 (PAX5) Cytoplasmic Staining in Well-differentiated Rectal Neuroendocrine Tumors (Carcinoids) and Its Diagnostic and Potentially Prognostic Utility.,2019,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-29996314,29996314,,10.3760/cma.j.issn.0529-5807.2018.07.005,"[Clinicopathologic and molecular characterizations of Sertoli cell tumor, not otherwise specified of the testis].",2018,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-23055533,23055533,,10.2967/jnumed.111.101295,Antitumor effects of proteasome inhibition in anaplastic thyroid carcinoma.,2012,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-16669872,16669872,,10.1111/j.1440-1827.2006.01959.x,Immunohistochemical analysis of thyroid-specific transcription factors in thyroid tumors.,2006,Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-15148315,15148315,,10.1074/jbc.M402949200,"Cross-talk between the paired domain and the homeodomain of Pax3: DNA binding by each domain causes a structural change in the other domain, supporting interdependence for DNA Binding.",2004,"Journal Article;Research Support, Non-U.S. Gov't",abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
pmid-11601392,11601392,,,[In vitro modelling of the interactions between the promoter and enhancer complexes].,2001,Comparative Study;Journal Article,abstract_relevant_fulltext_unavailable,"Confirmed include: Title/abstract matches primary run entities, declared mechanism/evidence terms, and required outcome or evidence-claim terms. Full text was not readable through PMC or PDF import at the time of review.",abstract_review_only,unavailable,missing,,high
